Parameters (Description)
^vmd021^              Out Heat Ix Monthly Hi Date
^vml021^              Out Heat Ix Monthly Lo
^vme021^              Out Heat Ix Monthly Lo Date
^vyh021^              Out Heat Ix Yearly Hi
^vyd021^              Out Heat Ix Yearly Hi Date
^vyl021^              Out Heat Ix Yearly Lo
^vye021^              Out Heat Ix Yearly Lo Date
^vzh021^              Out Heat Ix Yesterday Hi
^vzt021^              Out Heat Ix Yesterday Hi Time
^vzs021^              Out Heat Ix Yesterday Lo Time
^vhv021^              Out Heat Ix 24hours ago
^vdv021^              Out Heat Ix 24hour difference
^uni021^              Out Heat Ix Units
^vxv022^              Dew Point
^vhi022^              Dew Point Daily Hi
^vht022^              Dew Point Daily Hi Time
^vlo022^              Dew Point Daily Lo
^vlt022^              Dew Point Daily Lo Time
^vva022^              Dew Point Running Average
^vda022^              Dew Point Daily Avg
^vma022^              Dew Point Month Avg
^vya022^              Dew Point Year Avg
^vvr022^              Dew Point Rate
^vrh022^              Dew Point Rate Hi
^vrt022^              Dew Point Rate Hi Time
^vrl022^              Dew Point Rate Lo
^vrs022^              Dew Point Rate Lo Time
^vmh022^              Dew Point Monthly Hi
^vmd022^              Dew Point Monthly Hi Date
^vml022^              Dew Point Monthly Lo
^vme022^              Dew Point Monthly Lo Date
^vyh022^              Dew Point Yearly Hi
^vyd022^              Dew Point Yearly Hi Date
^vyl022^              Dew Point Yearly Lo
^vye022^              Dew Point Yearly Lo Date
^vzh022^              Dew Point Yesterday Hi
^vzt022^              Dew Point Yesterday Hi Time
^vzs022^              Dew Point Yesterday Lo Time
^vhv022^              Dew Point 24hours ago
^vdv022^              Dew Point 24hour difference
^uni022^              Dew Point Units
^vxv023^              SL Barometer
^vhi023^              SL Barometer Daily Hi
^vht023^              SL Barometer Daily Hi Time
^vlo023^              SL Barometer Daily Lo
^vlt023^              SL Barometer Daily Lo Time
^vva023^              SL Barometer Running Average
^vda023^              SL Barometer Daily Avg
^vma023^              SL Barometer Month Avg
^vya023^              SL Barometer Year Avg
^vvr023^              SL Barometer Rate
^vrh023^              SL Barometer Rate Hi
^vrt023^              SL Barometer Rate Hi Time
^vrl023^              SL Barometer Rate Lo
^vrs023^              SL Barometer Rate Lo Time
^vmh023^              SL Barometer Monthly Hi
^vmd023^              SL Barometer Monthly Hi Date
^vml023^              SL Barometer Monthly Lo
^vme023^              SL Barometer Monthly Lo Date
^vyh023^              SL Barometer Yearly Hi
^vyd023^              SL Barometer Yearly Hi Date
^vyl023^              SL Barometer Yearly Lo
^vye023^              SL Barometer Yearly Lo Date
^vzh023^              SL Barometer Yesterday Hi
^vzt023^              SL Barometer Yesterday Hi Time
^vzs023^              SL Barometer Yesterday Lo Time
^vhv023^              SL Barometer 24hours ago
^vdv023^              SL Barometer 24hour difference
^uni023^              SL Barometer Units
^vxv024^              Pressure Altitude
^uni024^              Pressure Altitude Units
^vxv025^              Cloud Base
^uni025^              Cloud Base Units
^vxv026^              Density Altitude
^uni026^              Density Altitude Units
^vxv027^              Virtual Temperature
^uni027^              Virtual Temperature Units
^vxv028^              Vapor Press
^uni028^              Vapor Press Units
^vxv121^              Daily Rain
^uni121^              Daily Rain Units
^vxv122^              Hourly Rain
